DefinitionId,DocumentId,Term,Definition,UsedIn,TranslatedTerm,TranslatedDefinition,Timestamp
1,2,CCATM,La Commission consultative communale d'aménagement du territoire et de mobilité visée par le CoDT.,[49],CCATM,The municipal consultative commission of territorial planning and mobility referred to by the CoDT.,2026-03-14 19:49:28.177
2,2,CRIE,Centre régional d'initiation à l'environnement.,"[96, 97, 98, 99, 101, 102]",CREATE,Regional Center for Initiation to the Environment.,2026-03-14 19:49:28.177
3,2,CoDT,Le Code du développement territorial.,"[49, 67, 158, 259, 262, 272]",CoDT,The Territorial Development Code.,2026-03-14 19:49:28.177
4,2,Convention environnementale,"Toute convention passée entre la Région, qui est représentée à cet effet par le Gouvernement, d'une part, et un ou plusieurs organismes représentatifs d'entreprises, dénommés ci-après l'organisme, d'autre part, en vue de prévenir la pollution de l'environnement, d'en limiter ou neutraliser les effets ou de promouvoir une gestion efficace de l'environnement. La convention environnementale indique notamment : 1° son objet, en ce compris les dispositions législatives européennes ou régionales qu'elle vise à mettre en œuvre, ainsi que les objectifs à atteindre, en ce compris, le cas échéant, les objectifs intermédiaires; 2° les modalités suivant lesquelles elle peut être modifiée conformément aux règles édictées par les dispositions de la présente partie; 3° les modalités suivant lesquelles elle peut être renouvelée conformément aux règles édictées par les dispositions de la présente partie; 4° les modalités suivant lesquelles elle peut être résiliée conformément aux règles édictées par les dispositions de la présente partie; 5° les modalités suivant lesquelles, en cas de résiliation de la convention, la partie qui résilie la convention se conforme aux dispositions décrétales et réglementaires que la convention vise à mettre en œuvre; 6° les modalités de contrôle quant au respect de ses dispositions; 7° les modalités suivant lesquelles sont tranchées les difficultés quant à l'interprétation des clauses de la convention; 8° les clauses pénales en cas d'inexécution de la convention environnementale; 9° les motifs pour lesquels et les conditions dans lesquelles il peut être mis fin à la convention. La convention environnementale peut formaliser la manière dont la ou les parties contractantes met ou mettent en œuvre ses ou leurs obligations. Le Gouvernement peut préciser le contenu des conventions environnementales qu'il détermine.","[329, 330, 331, 332, 333, 334, 335, 336, 337, 338]",Environmental convention,"Any convention concluded between the Region, which is represented for this purpose by the Government, on the one hand, and one or more representative business organizations, hereinafter referred to as the organization, on the other, with a view to preventing pollution of the environment, limiting or neutralizing its effects or promoting effective management of the environment. The environmental convention indicates in particular: 1° its object, including the European or regional legislative provisions that it seeks to implement, as well as the objectives to be achieved, including, where applicable, intermediate objectives; 2° the modalities according to which it may be amended in accordance with the rules laid down by the provisions of this part; 3° the modalities according to which it may be renewed in accordance with the rules laid down by the provisions of this part; 4° the modalities according to which it may be terminated in accordance with the rules laid down by the provisions of this part; 5° the modalities according to which, in the event of termination of the convention, the party that terminates the convention complies with the decree and regulatory provisions that the convention seeks to implement; 6° the control arrangements with regard to compliance with its provisions; 7° the modalities according to which difficulties regarding the interpretation of the clauses of the convention are settled; 8° the penalty clauses in case of non-performance of the environmental convention; 9° the reasons for which and the conditions under which it may be brought to an end. The environmental convention may formalize the manner in which the contracting party or parties put into effect its or their obligations. The Government may specify the content of the environmental conventions that it determines.",2026-03-14 19:49:28.177
5,2,Fonds budgétaire de protection de la Biodiversité,"Le produit des perceptions immédiates et des transactions conclues et le produit des amendes administratives infligées pour des infractions reprises à la loi du 12 juillet 1973 sur la conservation de la nature ou à l'article D.184, § 7.",[592],Budgetary Fund for the Protection of Biodiversity,"The proceeds of immediate collections and of transactions concluded and the proceeds of administrative fines inflicted for infractions referred to in the law of 12 July 1973 on the conservation of nature or in article D.184, § 7.",2026-03-14 19:49:28.177
6,2,Fonds budgétaire du bien-être animal,Le produit des transactions conclues et le produit des perceptions immédiates et des amendes administratives infligées pour des infractions reprises au Code wallon du Bien- être animal.,[592],Animal Welfare Budget Fund,The proceeds of concluded transactions and the proceeds of immediate collections and of administrative fines imposed for offences included in the Walloon Code of Animal Welfare.,2026-03-14 19:49:28.177
7,2,Fonds budgétaire en faveur de la gestion piscicole et halieutique en Wallonie,"Le produit des perceptions immédiates et des transactions conclues et le produit des amendes administratives infligées pour des infractions reprises au décret du 27 mars 2014 relatif à la pêche fluviale, à la gestion piscicole et aux structures halieutiques.",[592],Budgetary fund in favor of piscicultural and halieutic management in Wallonia,"The proceeds of immediate collections and of transactions concluded and the proceeds of administrative fines imposed for offences set out in the decree of 27 March 2014 relating to river fishing, to piscicultural management and to halieutic structures.",2026-03-14 19:49:28.177
8,2,activité professionnelle,"Toute activité exercée dans le cadre d'une activité économique, d'une affaire ou d'une entreprise, indépendamment de son caractère privé ou public, lucratif ou non lucratif.","[348, 529, 557]",professional activity,"Any activity carried out within the framework of an economic activity, a business or an enterprise, regardless of its private or public character, for-profit or non-profit.",2026-03-14 19:49:28.177
9,2,administration régionale,Le ou les services administratifs désignés par le Gouvernement.,"[183, 245, 596, 602, 604, 605, 606, 607]",regional administration,The administrative service or services designated by the Government.,2026-03-14 19:49:28.177
10,2,asbl,Association sans but lucratif constituée conformément au Code des sociétés et des associations.,"[96, 99, 100, 102]",asbl,Non-profit association constituted in accordance with the Code of Companies and Associations.,2026-03-14 19:49:28.177
11,2,auteur du plan ou du programme,"L'autorité qui initie l'élaboration d'un plan ou d'un programme ou, à défaut, l'autorité compétente.","[49, 183, 185, 268, 280, 282, 283, 284]",author of the plan or of the programme,"The authority that initiates the preparation of a plan or of a programme or, failing that, the competent authority.",2026-03-14 19:49:28.177
12,2,autorité compétente,"L'administration de l'environnement, à savoir le directeur général de la Direction générale des Ressources naturelles et de l'Environnement, son ou ses délégués.","[49, 183, 185, 194, 197, 199, 204, 205, 206, 207, 208, 216, 217, 219, 221, 229, 230, 292, 293, 294, 304, 313, 318, 319, 322, 348, 369, 371, 376, 378, 379, 381, 382, 383, 385, 386, 390, 392, 394, 395, 396, 399, 400, 401, 402, 404, 441, 513, 587, 590]",competent authority,"The environmental administration, namely the Director General of the General Directorate of Natural Resources and the Environment, his or her delegate(s).",2026-03-14 19:49:28.177
13,2,autorité compétente,"Tout organe deliberant ou non, doté ou non de la personnalité juridique, chargé d'une mission de service public et habilité soit à statuer sur la demande d'autorisation d'un projet, en ce compris l'autorité compétente sur recours, soit à adopter un plan ou un programme.","[49, 183, 185, 194, 197, 199, 204, 205, 206, 207, 208, 216, 217, 219, 221, 229, 230, 292, 293, 294, 304, 313, 318, 319, 322, 348, 369, 371, 376, 378, 379, 381, 382, 383, 385, 386, 390, 392, 394, 395, 396, 399, 400, 401, 402, 404, 441, 513, 587, 590]",competent authority,"Any body, deliberative or not, whether endowed with legal personality or not, charged with a public service mission and empowered either to rule on the application for authorization of a project, including the competent authority on appeal, or to adopt a plan or a programme.",2026-03-14 19:49:28.177
14,2,autorité publique,"L'une des personnes ou institutions suivantes, relevant des compétences de la Région wallonne : a. toute personne de droit public, toute autorite administrative, tout service administratif ou tout organe consultatif public; b. tout particulier ou toute personne morale de droit privé qui gère un service public en rapport avec l'environnement. Les personnes et institutions precitées ne sont pas des autorités publiques au sens du présent titre lorsqu'elles exercent une fonction juridictionnelle ou collaborent à l'administration de la justice.","[49, 57, 60, 61, 62, 63, 64, 65, 66, 67, 74, 76, 79, 81, 82, 83, 86, 87, 91, 393, 416, 539, 540]",public authority,"One of the following persons or institutions, falling within the competences of the Walloon Region: a. any person governed by public law, any administrative authority, any administrative service or any public consultative body; b. any natural person or any private-law legal person that manages a public service relating to the environment. The aforementioned persons and institutions are not public authorities within the meaning of this title when they exercise a judicial function or collaborate in the administration of justice.",2026-03-14 19:49:28.177
15,2,aéroport,Qui correspond à la définition donnée par la Convention de Chicago de 1944 constituant l'Organisation de l'aviation civile internationale (annexe 14).,"[642, 644]",airport,Which corresponds to the definition given by the Chicago Convention of 1944 constituting the International Civil Aviation Organization (Annex 14).,2026-03-14 19:49:28.177
16,2,comité d'accompagnement,Constitué conformément à l'article D.28-18.,"[37, 99, 103, 107, 126, 130, 131, 228, 229, 230, 231]",accompaniment committee,Constituted in accordance with Article D.28-18.,2026-03-14 19:49:28.177
17,2,convention de transition écologique,"Convention passée entre le Gouvernement wallon ou un ou plusieurs Ministres, un ou plusieurs organismes représentatifs d'acteurs publics ou privés au sens de l'article 83, et le cas échéant des acteurs publics et privés agissant à titre individuel sur base volontaire, ayant pour objet la mobilisation des acteurs dans un processus dynamique et collaboratif visant à stimuler la transition écologique dans un domaine spécifique.","[341, 342, 343]",ecological transition convention,"Agreement concluded between the Walloon Government or one or more Ministers, one or more representative bodies of public or private actors within the meaning of Article 83, and, where applicable, public and private actors acting individually on a voluntary basis, having as its object the mobilization of actors in a dynamic and collaborative process aimed at stimulating the ecological transition in a specific field.",2026-03-14 19:49:28.177
18,2,coûts,"Les coûts justifiés par la nécessité d'assurer une mise en oeuvre correcte et effective de la présente partie, y compris le coût de l'évaluation des dommages environnementaux, de la menace imminente de tels dommages, les options en matière d'action, ainsi que les frais administratifs, judiciaires et d'exécution, les coûts de collecte des données et les autres frais généraux, et les coûts de la surveillance et du suivi.","[43, 47, 49, 120, 348, 382, 383, 386, 388, 389, 390, 392, 394, 395, 397, 491]",costs,"Costs justified by the need to ensure a correct and effective implementation of this part, including the cost of the assessment of environmental damage, of the imminent threat of such damage, the options in terms of action, as well as administrative, judicial and enforcement fees, the costs of data collection and other overheads, and the costs of monitoring and follow-up.",2026-03-14 19:49:28.177
19,2,demandeur,La personne qui sollicite l'autorisation d'un projet.,"[49, 57, 59, 60, 61, 62, 64, 66, 68, 69, 77, 78, 79, 136, 146, 149, 153, 172, 175, 178, 179, 183, 185, 192, 207, 216, 219, 229, 230, 290, 292, 293, 294, 295, 299, 300, 301, 302, 303, 304, 305, 306, 310, 311, 312, 313, 315, 322, 394, 395, 400, 402, 602, 604, 605, 608]",applicant,The person who solicits the authorization of a project.,2026-03-14 19:49:28.177
20,2,demandeur,Tout membre du public.,"[49, 57, 59, 60, 61, 62, 64, 66, 68, 69, 77, 78, 79, 136, 146, 149, 153, 172, 175, 178, 179, 183, 185, 192, 207, 216, 219, 229, 230, 290, 292, 293, 294, 295, 299, 300, 301, 302, 303, 304, 305, 306, 310, 311, 312, 313, 315, 322, 394, 395, 400, 402, 602, 604, 605, 608]",applicant,Any member of the public.,2026-03-14 19:49:28.177
21,2,des mesures de restitution,"Ensemble de mesures, en ce compris la remise en état, prononcées par le juge en vertu du chapitre III du Titre V ou ordonnées par le fonctionnaire sanctionnateur en vertu de l'article D.201, consistant à rétablir la situation antérieure à l'infraction, à compenser les dommages occasionnés ou à en atténuer les conséquences de l'infraction.","[416, 530, 537, 539, 577, 593]",measures of restitution,"Set of measures, including restoration, pronounced by the judge pursuant to Chapter III of Title V or ordered by the sanctioning official pursuant to Article D.201, consisting in restoring the situation prior to the offense, in compensating the damage caused, or in mitigating the consequences of the offense.",2026-03-14 19:49:28.177
22,2,dommage environnemental,"Les dommages causés aux espèces et habitats naturels proteges, à savoir tout dommage qui affecte significativement la constitution ou le maintien d'un état de conservation favorable de tels habitats ou espèces; l'importance des effets de ces dommages s'évalue par rapport à l'état initial, en tenant compte des critères visés à l'article D.104. Les dommages causés aux espèces et habitats naturels protégés n'englobent pas les incidences négatives précédemment identifiées qui résultent d'un acte de l'exploitant qui a été expressément autorisé par les autorités compétentes conformément aux articles 5, §§ 1er à 3, 5bis et 29, § 2, alineas ler à 5, de la loi du 12 juillet 1973 sur la conservation de la nature ou aux articles lerter, alinéa 3, et 7, § 1er, de la loi du 28 février 1882 sur la chasse; les dommages affectant les eaux, à savoir tout dommage qui affecte de manière grave et negative l'état écologique, chimique ou quantitatif ou le potentiel écologique des eaux concernées tels que définis à l'article D.2, 47° à 50° et 68°, du Livre II du Code de l'Environnement constituant le Code de l'Eau, à l'exception des incidences négatives auxquelles s'applique l'article D.22, § 9, du Livre II du Code de l'Environnement constituant le Code de l'Eau; les dommages affectant les sols, à savoir toute pollution des sols qui engendre un risque d'incidence négative grave sur la santé humaine du fait de l'introduction directe ou indirecte en surface ou dans le sol de substances, préparations, organismes ou micro-organismes.","[348, 352, 365, 367, 370, 372, 376, 378, 382, 385, 399, 400, 401, 404, 405]",environmental damage,"Damages caused to protected species and natural habitats, namely any damage which significantly affects the establishment or the maintenance of a favourable conservation status of such habitats or species; the importance of the effects of such damage is assessed in relation to the initial state, taking into account the criteria referred to in Article D.104. Damages caused to protected species and natural habitats do not include the negative impacts previously identified which result from an act of the operator which has been expressly authorized by the competent authorities in accordance with Articles 5, §§ 1er to 3, 5bis and 29, § 2, paragraphs ler to 5, of the Law of 12 July 1973 on the conservation of nature or with Articles lerter, paragraph 3, and 7, § 1er, of the Law of 28 February 1882 on hunting; damages affecting waters, namely any damage which gravely and negatively affects the ecological, chemical or quantitative status or the ecological potential of the waters concerned as defined in Article D.2, 47° to 50° and 68°, of Book II of the Environmental Code constituting the Water Code, with the exception of the negative impacts to which Article D.22, § 9, of Book II of the Environmental Code constituting the Water Code applies; damages affecting soils, namely any pollution of soils which gives rise to a risk of a serious negative impact on human health by reason of the direct or indirect introduction on the surface or into the soil of substances, preparations, organisms or micro-organisms.",2026-03-14 19:49:28.177
23,2,dommages,"Une modification negative mesurable d'une ressource naturelle ou une détérioration mesurable d'un service lié à des ressources naturelles, qui peut survenir de manière directe ou indirecte.","[43, 91, 111, 344, 346, 348, 350, 354, 355, 356, 357, 359, 360, 361, 362, 363, 370, 372, 373, 378, 381, 383, 385, 395, 399, 400, 416]",damages,"A measurable negative modification of a natural resource or a measurable deterioration of a service related to natural resources, which can occur directly or indirectly.",2026-03-14 19:49:28.177
24,2,déclaration,"L'acte visé à l'article 1er, 2º, du décret du 11 mars 1999 relatif au permis d'environnement.","[49, 116, 122, 162, 203, 205, 207, 209, 223, 280, 284, 343, 513, 521, 556, 608]",declaration,"The act referred to in article 1er, 2º, of the decree of 11 March 1999 relating to the environmental permit.",2026-03-14 19:49:28.177
25,2,déclaration environnementale,"La partie de la décision d'adoption ou d'approbation d'un plan ou d'un programme ou le document accompagnant cette décision qui resume la manière dont les considérations environnementales ont été intégrées dans le plan ou le programme et dont le rapport sur les évaluations environnementales, les observations et avis émis par les instances et le public consultés, ont été pris en considération, ainsi que les raisons du choix du plan ou du programme tel qu'adopté, compte tenu des autres solutions raisonnables envisagées.","[49, 203, 205, 207, 209, 223, 284]",environmental declaration,"The part of the decision of adoption or approval of a plan or programme or the document accompanying that decision which summarizes the way in which environmental considerations have been integrated into the plan or the programme and in which the report on environmental assessments, the observations and opinions issued by the consulted instances and the public have been taken into consideration, as well as the reasons for the choice of the plan or the programme as adopted, taking into account the other reasonable solutions envisaged.",2026-03-14 19:49:28.177
26,2,eaux,"Toutes les eaux définies à l'article D.2, 30°, 31º, 33º, 34º et 36° à 38°, du Livre II du Code de l'Environnement constituant le Code de l'Eau.","[89, 162, 196, 259, 280, 348, 365, 367, 371, 372, 378, 383, 589, 602, 605, 635, 639, 640, 642, 643]",waters,"All the waters defined in article D.2, 30°, 31º, 33º, 34º and 36° to 38°, of Book II of the Environmental Code constituting the Water Code.",2026-03-14 19:49:28.177
27,2,espèces et habitats naturels protégés,"Les espèces visées aux articles 1erbis, 7º et 8°, 2, § 1er, 2bis, § ler, 3, § ler, de la loi du 12 juillet 1973 sur la conservation de la nature; les habitats des espèces visées aux articles lerbis, 7º et 8°, 2, § ler, 2bis, § ler, 3, § 1er, de la loi du 12 juillet 1973 sur la conservation de la nature, les habitats naturels enumeres à l'annexe VIII de la loi du 12 juillet 1973 sur la conservation de la nature et les habitats naturels definis en application de l'article 25, §§ 1er et 2, alinéa ler, de la même loi.","[348, 350, 365, 372]",species and protected natural habitats,"The species referred to in articles 1erbis, 7º and 8°, 2, § 1er, 2bis, § ler, 3, § ler, of the law of 12 July 1973 on the conservation of nature; the habitats of the species referred to in articles lerbis, 7º and 8°, 2, § ler, 2bis, § ler, 3, § 1er, of the law of 12 July 1973 on the conservation of nature, the natural habitats listed in Annex VIII of the law of 12 July 1973 on the conservation of nature and the natural habitats defined in application of article 25, §§ 1er and 2, paragraph ler, of the same law.",2026-03-14 19:49:28.177
28,2,exploitant,"Toute personne physique ou morale, privée ou publique, qui exerce ou contrôle une activité professionnelle ou qui a reçu par délégation un pouvoir économique important sur le fonctionnement technique, y compris le titulaire d'un permis ou d'une autorisation pour une telle activité, ou la personne enregistrant ou déclarant une telle activité.","[303, 348, 350, 355, 357, 362, 374, 376, 378, 380, 381, 382, 383, 384, 386, 387, 389, 390, 392, 393, 394, 395, 396, 397, 401, 459, 530]",operator,"Any natural or legal person, private or public, who carries out or controls a professional activity or who has received by delegation an important economic power over the technical functioning, including the holder of a permit or an authorization for such an activity, or the person registering or declaring such an activity.",2026-03-14 19:49:28.177
29,2,fichier central,Central file of environmental delinquency established and managed by the Administration,"[421, 422, 423, 424, 427, 428, 431, 432, 439, 450, 455, 524, 533, 541, 551, 556]",central file,Central file of environmental delinquency established and managed by the Administration,2026-03-14 19:49:28.177
30,2,information détenue par une autorité publique,Toute information environnementale qui est en la possession de cette autorité et qui a été reçue ou établie par elle.,[49],information held by a public authority,Any environmental information that is in the possession of this authority and that has been received or established by it.,2026-03-14 19:49:28.177
31,2,information détenue pour le compte d'une autorité publique,Toute information environnementale qui est matériellement détenue par une personne physique ou morale pour le compte d'une autorité publique.,[49],information held for the account of a public authority,Any environmental information that is materially held by a natural or legal person on behalf of a public authority.,2026-03-14 19:49:28.177
32,2,information environnementale,"Toute information, détenue par une autorité publique ou pour son compte, disponible sous forme écrite, visuelle, sonore, électronique ou toute autre forme matérielle, concernant : a. l'état des éléments de l'environnement, tels que l'air et l'atmosphère, l'eau, le sol, les terres, les paysages et les sites naturels, y compris les biotopes humides, les zones côtières et marines, la diversité biologique et ses composantes, y compris les organismes génétiquement modifiés, ainsi que l'interaction entre ces éléments; b. des facteurs, tels que les substances, l'énergie, le bruit, les rayonnements ou les déchets, les émissions, les déversements et autres rejets dans l'environnement, qui ont ou sont susceptibles d'avoir des incidences sur les éléments de l'environnement visés au point a.; c. les mesures, y compris les mesures administratives, telles que les politiques, les dispositions législatives, les plans, les programmes, les accords environnementaux et les activités ayant ou susceptibles d'avoir des incidences sur les éléments et les facteurs visés aux points a. et b., ainsi que les mesures ou activités destinées à protéger ces éléments; d. les rapports sur l'application de la législation environnementale; e. les analyses coûts-avantages et autres analyses et hypothèses économiques utilisées dans le cadre des mesures et activités visées au point c.; f. l'état de la santé humaine, la sécurité, y compris, le cas échéant, la contamination de la chaîne alimentaire, le cadre de vie, le patrimoine, pour autant qu'ils soient ou puissent être altérés par l'état des éléments de l'environnement visés au point a., ou, par l'intermédiaire de ces éléments, par l'un des facteurs, mesures ou activités visés aux points b. et c.","[49, 59, 60, 61, 62, 64, 65, 74]",environmental information,"Any information, held by a public authority or on its behalf, available in written, visual, sound, electronic or any other material form, concerning: a. the state of elements of the environment, such as air and the atmosphere, water, soil, lands, landscapes and natural sites, including wet biotopes, coastal and marine zones, biological diversity and its components, including genetically modified organisms, as well as the interaction between these elements; b. factors, such as substances, energy, noise, radiations or waste, emissions, spills and other releases into the environment, which have or are likely to have impacts on the elements of the environment referred to in point a.; c. measures, including administrative measures, such as policies, legislative provisions, plans, programmes, environmental agreements and activities having or likely to have impacts on the elements and factors referred to in points a. and b., as well as measures or activities intended to protect those elements; d. reports on the implementation of environmental legislation; e. cost-benefit analyses and other economic analyses and assumptions used in relation to the measures and activities referred to in point c.; f. the state of human health, safety, including, where applicable, contamination of the food chain, the living environment, heritage, insofar as they are or may be altered by the state of the elements of the environment referred to in point a., or, through those elements, by any of the factors, measures or activities referred to in points b. and c.",2026-03-14 19:49:28.177
33,2,jour ouvrable,"Le jour qui n'est ni un samedi, ni un dimanche, ni un jour férié.","[87, 136, 144, 153, 192, 196, 205, 296, 417, 509, 521, 601]",working day,"The day that is neither a Saturday, nor a Sunday, nor a public holiday.",2026-03-14 19:49:28.177
34,2,l'Administration,"Le Service public de Wallonie Agriculture, Ressources naturelles et Environnement.","[57, 143, 147, 153, 183, 188, 195, 196, 213, 245, 343, 348, 396, 402, 416, 419, 421, 427, 431, 432, 442, 450, 455, 489, 491, 501, 531, 581, 582, 593, 602, 604, 605, 606, 607, 608, 613]",the Administration,"The Public Service of Wallonia Agriculture, Natural Resources and Environment.",2026-03-14 19:49:28.177
35,2,l'agent constatateur,"L'agent statutaire ou contractuel désigné en vertu des articles D.146, D.149 et D.152 pour surveiller et contrôler le respect des dispositions visées à l'article D.138, rechercher et constater les infractions en vertu de la présente partie.","[416, 454, 507, 509, 510, 511, 513, 515, 521, 547, 550, 597]",the reporting officer,"The statutory or contractual agent designated under Articles D.146, D.149 and D.152 to monitor and control compliance with the provisions referred to in Article D.138, to seek out and to ascertain offences under this Part.",2026-03-14 19:49:28.177
36,2,l'association,Au sens de l'article 1:2 du Code des societes et des associations.,"[107, 112, 113, 114, 116, 120, 121, 122, 125, 126, 128, 131, 450]",the association,Within the meaning of article 1:2 of the Code of companies and associations.,2026-03-14 19:49:28.177
