DefinitionId,DocumentId,Term,Definition,UsedIn,TranslatedTerm,TranslatedDefinition,Timestamp
37,2,l'expert technique,"Toute personne, requise par un agent constatateur ou un fonctionnaire sanctionnateur, présumée capable, par son art, sa formation, son diplôme ou sa profession, d'apprécier la nature et les circonstances d'un evenement potentiellement infractionnel et d'éclairer un agent constatateur ou un fonctionnaire sanctionnateur de ce sujet dans le cadre de l'exercice de ses missions dévolues par la présente partie.",[416],the technical expert,"Any person, required by an ascertaining officer or a sanctioning official, presumed capable, by his art, his training, his diploma or his profession, of assessing the nature and circumstances of an event potentially constituting an offence and of informing an ascertaining officer or a sanctioning official on this subject in the course of the exercise of the missions assigned to him by this part.",2026-03-14 19:49:28.177
38,2,la SPAQUE,"La Société publique d'aide à la qualité de l'environnement visée à l'article 22, § 2, de la loi du 2 avril 1962 relative à la Societe federale d'investissement et aux Sociétés regionales d'investissement.","[416, 513, 531, 610, 611, 612, 613, 614, 615, 616, 617, 618, 619, 620, 623, 624, 625, 626, 627]",the SPAQUE,"The public company for assistance to the quality of the environment referred to in Article 22, § 2, of the law of 2 April 1962 relating to the Societe federale d'investissement and to the Sociétés regionales d'investissement.",2026-03-14 19:49:28.177
39,2,la récidive,"L'état dans lequel une personne se trouve lorsque, précédemment condamnée pénalement ou sanctionnée administrativement pour une infraction à l'une des législations reprises à l'article D.138, elle commet, dans un délai de cinq ans a compter de la condamnation penale ou administrative respectivement coulée en force de chose jugée ou décidée, une nouvelle infraction à la même législation.","[416, 558]",the recidivism,"The state in which a person finds themselves when, having previously been criminally convicted or administratively sanctioned for an offence against one of the legislations referred to in Article D.138, they commit, within a period of five years counting from the criminal or administrative conviction respectively having become res judicata or having been decided, a new offence against the same legislation.",2026-03-14 19:49:28.177
40,2,le Code de l'Eau,Le Livre II du Code de l'Environnement contenant le Code de l'Eau.,"[162, 163, 164, 274, 276, 348, 410, 416, 441]",the Water Code,The Book II of the Environmental Code containing the Water Code.,2026-03-14 19:49:28.177
41,2,le fonctionnaire sanctionnateur,"L'agent statutaire ou contractuel désigné en vertu des articles D.156 à D.158 pour poursuivre et sanctionner, de manière administrative, les infractions constatées en vertu de la présente partie.","[416, 422, 487, 509, 520, 521, 550, 551, 555, 556, 557, 558, 559, 560, 562, 566, 568, 569, 570, 571, 573, 574, 576, 577, 578, 579, 581, 582, 590]",the sanctioning official,"The statutory or contractual agent designated pursuant to Articles D.156 to D.158 to prosecute and sanction, in an administrative manner, the offences found pursuant to this Part.",2026-03-14 19:49:28.177
42,2,le plan d'intervention,"L'ensemble des mesures ordonnées par un Bourgmestre ou un agent constatateur en vertu de l'article D.169 permettant, à titre conservatoire, de maîtriser la menace ou les effets d'une pollution jusqu'à ce que les sources de danger ou de pollution en aient été retirées, en ce compris par une évaluation des risques sanitaires.",[416],the intervention plan,"All the measures ordered by a Mayor or an observing officer pursuant to Article D.169, allowing, as a conservatory measure, the control of the threat or the effects of a pollution until the sources of danger or pollution have been removed, including by an assessment of health risks.",2026-03-14 19:49:28.177
43,2,le responsable de l'animal,"La personne, propriétaire ou detentrice d'un animal, qui exerce habituellement sur lui une gestion ou une surveillance directe.",[416],the responsible of the animal,"The person, owner or holder of an animal, who habitually exercises over it management or direct supervision.",2026-03-14 19:49:28.177
44,2,menace imminente de dommage,Une probabilité suffisante de survenance d'un dommage environnemental dans un avenir proche.,"[348, 376, 380, 382, 390, 394, 397]",imminent threat of damage,A sufficient probability of occurrence of an environmental damage in the near future.,2026-03-14 19:49:28.177
45,2,mesures de réparation,"Toute action, ou combinaison d'actions, y compris des mesures d'atténuation ou des mesures transitoires visant à restaurer, rehabiliter ou remplacer les ressources naturelles endommagées ou les services détériorés ou à fournir une alternative équivalente à ces ressources ou services.","[348, 368, 369, 371, 372, 378, 381, 383, 384, 385, 386, 407, 419, 593]",measures of repair,"Any action, or combination of actions, including mitigation measures or transitional measures aimed at restoring, rehabilitating or replacing damaged natural resources or deteriorated services or at providing an equivalent alternative to those resources or services.",2026-03-14 19:49:28.177
46,2,mesures préventives,"Toute mesure prise en réponse à un événement, un acte ou une omission qui a crée une menace imminente de dommage environnemental, afin de prévenir ou de limiter au maximum ce dommage.","[348, 376, 382, 479, 535]",preventive measures,"Any measure taken in response to an event, an act or an omission that has created an imminent threat of environmental damage, in order to prevent or to limit this damage as much as possible.",2026-03-14 19:49:28.177
47,2,notice d'évaluation des incidences sur l'environnement,Le document reprenant les principaux paramètres écologiques du projet et mettant en évidence ses effets sur l'environnement.,"[49, 194, 287, 298, 299, 305, 313, 318, 602]",notice of evaluation of incidences on the environment,The document summarizing the main ecological parameters of the project and highlighting its effects on the environment.,2026-03-14 19:49:28.177
48,2,participation du public,"La possibilité pour le public d'intervenir lors d'une enquête publique et, le cas échéant, la réunion d'information ou de concertation, la prise en compte des résultats de cette consultation du public lors de la prise de décision, ainsi que la communication d'informations sur la décision d'adopter un plan ou un programme ou d'autoriser un projet.","[37, 46, 49, 54, 56, 155, 158, 165, 166, 169, 172, 219, 318, 605, 606]",public participation,"The possibility for the public to intervene during a public inquiry and, if applicable, the information or consultation meeting, the taking into account of the results of this public consultation during the taking of the decision, as well as the communication of information on the decision to adopt a plan or a programme or to authorize a project.",2026-03-14 19:49:28.177
49,2,permis,"Les permis d'environnement et les permis uniques; les permis et les certificats d'urbanisme n° 2 accordés en vertu du CoDT; les projets d'assainissement au sens du décret relatif du 1er mars 2018 à la gestion et à l'assainissement des sols; les actes administratifs énumérés par le Gouvernement, pris en application des lois, décrets et règlements, décidant de réaliser ou de permettre de réaliser un projet en tout ou partie; les permis de stockage délivrés en vertu du Code de la gestion des ressources du sous-sol; les permis d'implantation commerciale et les permis intégrés au sens de l'article 1er, 4° et 5°, du décret relatif aux implantations commerciales.","[49, 84, 90, 160, 163, 164, 188, 218, 219, 221, 223, 262, 287, 288, 290, 292, 293, 294, 297, 299, 300, 302, 304, 305, 309, 311, 313, 315, 318, 319, 320, 322, 326, 348, 395, 410, 416, 427, 513, 521, 529, 538, 541, 547, 556, 557, 576, 590, 602, 608, 630, 640]",permit,"The environmental permits and the single permits; the permits and the urban planning certificates No. 2 granted under the CoDT; the remediation projects within the meaning of the decree of 1 March 2018 relating to the management and remediation of soils; the administrative acts enumerated by the Government, taken in application of the laws, decrees and regulations, deciding to carry out or to allow the carrying out of a project in whole or in part; the storage permits issued under the Code for the management of subsoil resources; the commercial implantation permits and the integrated permits within the meaning of article 1er, 4° and 5°, of the decree relating to commercial implantations.",2026-03-14 19:49:28.177
50,2,permis d'environnement,"La décision visée à l'article 1er, 1º, du décret du 11 mars 1999 relatif au permis d'environnement.","[49, 90, 163, 164, 262, 299, 410, 416, 513, 521, 538, 547, 556, 576, 590, 602, 608, 630, 640]",permit of environment,"The decision referred to in article 1er, 1º, of the decree of 11 March 1999 relating to the environmental permit.",2026-03-14 19:49:28.177
51,2,permis unique,"La décision visée à l'article 1er, 12º, du décret du 11 mars 1999 relatif au permis d'environnement.","[49, 164, 262, 556, 608]",single permit,"The decision referred to in Article 1, 12º, of the decree of 11 March 1999 relating to the environmental permit.",2026-03-14 19:49:28.177
52,2,pertes intermédiaires,Des pertes résultant du fait que les ressources naturelles ou les services endommagés ne sont pas en mesure de remplir leurs fonctions écologiques ou de fournir des services à d'autres ressources naturelles ou au public jusqu'à ce que les mesures primaires ou complémentaires aient produit leur effet. Elles ne peuvent donner lieu à une compensation financière accordée au public.,"[348, 365]",intermediate losses,Losses resulting from the fact that the damaged natural resources or services are not able to fulfill their ecological functions or to provide services to other natural resources or to the public until primary or complementary measures have produced their effect. They cannot give rise to financial compensation granted to the public.,2026-03-14 19:49:28.177
53,2,plan d'actions environnementales,"Plan reprenant l'ensemble des actions envisagées par l'association environnementale qui tend à la protection de l'environnement, à l'amélioration de l'état de l'environnement, à l'éducation à l'environnement et à la sensibilisation à l'environnement.","[107, 120, 121, 125, 126]",plan of environmental actions,"Plan including all of the actions envisaged by the environmental association which tends to the protection of the environment, to the improvement of the state of the environment, to education to the environment and to awareness to the environment.",2026-03-14 19:49:28.177
54,2,plans et programmes,"Decisions, à l'exclusion de celles visées au [2 CoDT], ainsi que leurs modifications, ayant pour objet de déterminer soit une suite ordonnée d'actions ou d'opérations envisagées pour atteindre un ou plusieurs buts spécifiques en rapport avec la qualité de l'environnement, soit la destination ou le régime de protection d'une ou plusieurs zones ou d'un site notamment afin de définir le cadre dans lequel peut y être autorisée la mise en oeuvre d'activités déterminées, et qui : a. sont élaborées et/ou adoptées par une autorité au niveau régional ou local, ou élaborées par une autorité en vue de leur adoption par le Parlement ou par le Gouvernement wallon; b. et sont prévues par des dispositions décrétales, réglementaires ou administratives; Les plans et programmes visés par le présent décret comprennent également ceux qui sont cofinancés par la Communauté européenne.","[46, 49, 90, 159, 160, 162, 166, 170, 183, 185, 196, 197, 198, 199, 203, 204, 265, 266, 267, 268, 269, 271, 272, 278, 280, 285, 324]",plans and programmes,"Decisions, excluding those referred to in [2 CoDT], as well as their modifications, having as their object to determine either an ordered sequence of actions or operations envisaged to achieve one or more specific objectives in relation to the quality of the environment, or the destination or the protection regime of one or more zones or of a site, notably in order to define the framework within which the implementation of determined activities may be authorized there, and which : a. are elaborated and/or adopted by an authority at the regional or local level, or elaborated by an authority with a view to their adoption by the Parliament or by the Walloon Government; b. and are provided for by decretal, regulatory or administrative provisions; The plans and programmes referred to in this decree also include those which are co-financed by the European Community.",2026-03-14 19:49:28.177
55,2,projet,"Tout operation, activité, ouvrage, construction, démolition, transformation, extension ou desaffectation d'installations modifiant l'environnement, dont la réalisation est envisagée par une personne physique ou morale, de droit public ou privé et est subordonnée à autorisation préalable.","[37, 46, 47, 49, 67, 99, 131, 157, 158, 163, 164, 166, 167, 168, 169, 170, 172, 176, 178, 183, 185, 188, 190, 192, 194, 195, 196, 197, 198, 199, 204, 207, 208, 216, 217, 218, 219, 221, 223, 225, 227, 229, 230, 248, 249, 250, 262, 268, 269, 278, 279, 281, 282, 285, 286, 287, 288, 289, 290, 291, 293, 295, 298, 299, 300, 301, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 315, 316, 318, 319, 333, 336, 343, 419, 446, 450, 452, 593, 605, 606, 608, 641, 643, 646, 647, 648, 649]",project,"Any operation, activity, work, construction, demolition, transformation, extension or decommissioning of installations modifying the environment, the carrying out of which is envisaged by a natural or legal person, of public or private law, and is subject to prior authorization.",2026-03-14 19:49:28.177
56,2,public,"Une ou plusieurs personnes physiques ou morales, ainsi que les associations, organisations et groupes rassemblant ces personnes.","[35, 37, 46, 49, 54, 56, 57, 62, 63, 65, 66, 67, 88, 89, 90, 91, 95, 112, 113, 114, 131, 133, 142, 145, 153, 155, 158, 165, 166, 169, 172, 178, 179, 185, 189, 190, 195, 202, 203, 207, 213, 216, 217, 219, 225, 227, 233, 240, 245, 295, 301, 317, 318, 320, 324, 331, 334, 335, 336, 337, 339, 341, 342, 343, 348, 367, 413, 416, 419, 420, 423, 427, 453, 454, 455, 456, 491, 493, 501, 527, 537, 541, 548, 556, 562, 605, 606, 610, 613, 619]",public,"One or more natural or legal persons, as well as associations, organizations and groups bringing together these persons.",2026-03-14 19:49:28.177
57,2,pôle Aménagement du territoire,Le pôle Aménagement du territoire vise par le CoDT.,[],Territorial Planning Unit,The Land-use Planning unit is targeted by the CoDT.,2026-03-14 19:49:28.177
58,2,pôle Environnement,Le pôle vise à l'article 2/4 du décret du 6 novembre 2008 portant rationalisation de la fonction consultative.,[],pole Environment,The pole refers to article 2/4 of the decree of 6 November 2008 concerning the rationalization of the consultative function.,2026-03-14 19:49:28.177
59,2,rapport sur les incidences environnementales,La partie de la documentation relative au plan ou,"[49, 170, 183, 194, 205, 216, 219, 267, 279, 280, 281, 282, 283, 284, 547]",report on the environmental incidences,The part of the documentation relating to the plan or,2026-03-14 19:49:28.177
60,2,ressource naturelle,"Les espèces et habitats naturels protégés, les eaux et les sols.","[348, 370]",natural resource,"The species and natural habitats protected, the waters and the soils.",2026-03-14 19:49:28.177
61,2,reéquipement,"La rénovation des centrales électriques produisant de l'énergie renouvelable visée à l'article 2, 1º, du décret du 29 avril 2024 relatif à l'accélération du déploiement des énergies renouvelables, le remplacement total ou partiel des installations ou des systèmes et des équipements d'exploitation, dans le but d'en modifier la capacité ou d'augmenter l'efficacité ou la capacité de l'installation.","[298, 299]",re-equipment,"The renovation of power plants producing renewable energy referred to in Article 2, 1º, of the decree of 29 April 2024 relating to the acceleration of the deployment of renewable energies, the total or partial replacement of installations or systems and of operating equipment, with the aim of modifying their capacity or of increasing the efficiency or capacity of the installation.",2026-03-14 19:49:28.177
62,2,régénération naturelle,Régénération où aucune intervention humaine directe dans le processus de rétablissement n'a lieu.,"[348, 362, 369, 373, 385]",natural regeneration,Regeneration where no direct human intervention in the recovery process takes place.,2026-03-14 19:49:28.177
63,2,"régénération, y compris la regeneration naturelle","Dans le cas des dommages affectant les eaux et les espèces et habitats naturels protégés, le retour des ressources naturelles endommagées ou des services détériorés à leur état initial et, dans le cas de dommages affectant les sols, l'élimination de tout risque grave d'incidence négative sur la santé humaine.",[],"regeneration, including the natural regeneration","In the case of damage affecting waters and protected natural species and habitats, the return of the damaged natural resources or of the deteriorated services to their initial state and, in the case of damage affecting soils, the elimination of any serious risk of negative incidence on human health.",2026-03-14 19:49:28.177
64,2,réparation compensatoire,Toute action entreprise afin de compenser les pertes intermédiaires de ressources naturelles ou de services qui surviennent entre la date de survenance d'un dommage et le moment où la réparation primaire a pleinement produit son effet.,"[348, 365, 367]",compensatory reparation,Any action undertaken in order to compensate the interim losses of natural resources or services that occur between the date of occurrence of a damage and the moment when the primary repair has fully produced its effect.,2026-03-14 19:49:28.177
65,2,réparation complémentaire,Toute mesure de réparation entreprise à l'égard des ressources naturelles ou des services afin de compenser le fait que la réparation primaire n'aboutit pas à la restauration complète des ressources naturelles ou des services.,"[348, 365, 367, 369]",complementary repair,Any repair measure undertaken with respect to natural resources or services in order to compensate for the fact that the primary repair does not result in the complete restoration of natural resources or services.,2026-03-14 19:49:28.177
66,2,réparation primaire,Toute mesure de réparation par laquelle les ressources naturelles endommagées ou les services détériorés retournent à leur état initial ou s'en rapprochent.,"[348, 365, 367, 369, 371]",primary repair,Any repair measure by which damaged natural resources or deteriorated services return to their initial state or come close to it.,2026-03-14 19:49:28.177
67,2,services et services liés à une ressource naturelle,Les fonctions assurées par une ressource naturelle au bénéfice d'une autre ressource naturelle ou du public.,[348],services and services related to a natural resource,The functions provided by a natural resource for the benefit of another natural resource or of the public.,2026-03-14 19:49:28.177
68,2,un avertissement,"Une information orale confirmée par écrit ou directement écrite communiquée par un agent constatateur à un contrevenant lui précisant que son comportement constitue une infraction, le cas échéant assortie d'une injonction de régularisation dans un délai déterminé.","[128, 201, 416, 423, 507, 508]",a warning,"An oral information confirmed in writing or directly written communicated by an observing officer to a contravener specifying to him that his behaviour constitutes an offence, where applicable accompanied by an injunction to regularise within a determined time limit.",2026-03-14 19:49:28.177
69,2,un expert,"Un agent statutaire ou contractuel, ou toute personne, dépendant d'une autorité publique belge offrant des garanties d'indépendance et de compétence auquel les agents constatateurs peuvent faire appel dans le cadre de leurs missions en vertu de l'article D.148.","[416, 550, 551, 599]",an expert,"A statutory or contractual agent, or any person, dependent on a Belgian public authority offering guarantees of independence and competence to which the ascertaining agents may have recourse in the framework of their missions pursuant to Article D.148.",2026-03-14 19:49:28.177
70,2,une infraction,"Tout crime, delit et contravention définis par les dispositions visées à l'article D.138, en ce compris les infractions déclassées.","[233, 416, 420, 436, 446, 454, 460, 462, 475, 476, 477, 478, 479, 480, 481, 482, 483, 487, 491, 501, 507, 509, 513, 515, 521, 528, 529, 531, 533, 534, 535, 541, 547, 550, 556, 557, 573, 584, 593]",an infraction,"Any crime, misdemeanor and contravention defined by the provisions referred to in Article D.138, including downgraded infractions.",2026-03-14 19:49:28.177
71,2,une infraction déclassée,"Toute infraction, à l'exception des infractions classées en première catégorie, reprise dans une liste établie par le Gouvernement en vertu de l'article D.192 qui peut exclusivement faire l'objet de poursuites administratives.","[416, 509, 547]",a downgraded offense,"Any offense, with the exception of offenses classified in the first category, included in a list established by the Government pursuant to Article D.192 which may exclusively be the subject of administrative prosecutions.",2026-03-14 19:49:28.177
72,2,une remise en état,"Toute action ou combinaison d'actions visant soit, le cas échéant conjointement: la réintégration des lieux dans l'environnement eu égard à la réaffectation de celui-ci à un usage fonctionnel ou en vue du retour à la situation existante avant la réalisation de l'infraction ou à un état correspondant aux objectifs de la règle transgressée; la restauration, la réhabilitation ou le remplacement de ressources naturelles endommagées, le cas échéant par le biais d'une alternative équivalente à ces ressources; la restauration dans un état tel que la situation ne présente plus aucun danger, ni ne constitue plus aucune nuisance pour l'environnement ou la santé humaine; la suppression des risques de pollution engendrée par le site ayant fait l'objet de l'infraction ou ayant subi les conséquences de cette infraction; pour les infractions prévues par le décret du 1er mars 2018 relatif à la gestion et à l'assainissement des sols, la mise en œuvre de toute action permettant le respect des obligations découlant de l'article 19 du même décret; pour les infractions prévues par le décret du 11 mars 1999 relatif au permis d'environnement, l'ensemble des opérations en vue de la réintégration de l'établissement dans l'environnement eu égard à la réaffectation de celui-ci à un usage fonctionnel ou en vue de la suppression des risques de pollution engendrée par le site ayant fait l'objet de l'infraction ou ayant subi les conséquences de cette infraction; pour les infractions prévues par le Code wallon du Bien-être des animaux qui peuvent faire l'objet d'une régularisation, l'ensemble des opérations envisagées en vue de mettre la situation visée par les faits infractionnels en situation de conformité par rapport aux dispositions du même Code et de ses arrêtés d'exécution; pour les infractions prévues à l'article 204, 10° à 13º, du décret du 9 mars 2023 relatif aux déchets, à la circularité des matières et à la propreté publique, et pour autant que le dépôt sauvage de déchets implique des indications sérieuses qu'une pollution du sol dépasse ou risque de dépasser les valeurs seuil ou les concentrations de fond lorsque ces dernières sont supérieures aux valeurs seuil au sens du décret du 1er mars 2018 relatif à la gestion et à l'assainissement des sols et ses mesures d'exécution, l'introduction et l'exécution d'un plan de réhabilitation des lieux du dépôt sauvage de déchets conformément à la partie IX du présent Livre.","[416, 578]",a remise en état,"Any action or combination of actions aiming either, where applicable jointly, at: the reintegration of the site into the environment with regard to its reassignment to a functional use or with a view to returning to the situation existing before the commission of the offence or to a state corresponding to the objectives of the rule breached; the restoration, rehabilitation or replacement of damaged natural resources, where appropriate by means of an equivalent alternative to those resources; the restoration to a state such that the situation no longer presents any danger, nor constitutes any nuisance to the environment or human health; the removal of pollution risks generated by the site that was the subject of the offence or that has suffered the consequences of that offence; for offences provided for by the decree of 1 March 2018 relating to soil management and remediation, the implementation of any action enabling compliance with the obligations arising from Article 19 of the same decree; for offences provided for by the decree of 11 March 1999 relating to the environmental permit, all operations aimed at the reintegration of the establishment into the environment with regard to its reassignment to a functional use or with a view to the removal of pollution risks generated by the site that was the subject of the offence or that has suffered the consequences of that offence; for offences provided for by the Walloon Code on Animal Welfare that can be regularised, all operations envisaged with a view to bringing the situation targeted by the offence into compliance with the provisions of the same Code and its implementing orders; for offences provided for in Article 204, 10° to 13º, of the decree of 9 March 2023 relating to waste, material circularity and public cleanliness, and provided that the illegal dumping of waste involves serious indications that a soil pollution exceeds or is likely to exceed the threshold values or background concentrations when the latter are higher than the threshold values within the meaning of the decree of 1 March 2018 relating to soil management and remediation and its implementing measures, the introduction and implementation of a plan for the rehabilitation of the sites of illegal waste dumping in accordance with Part IX of this Book.",2026-03-14 19:49:28.177
73,2,voie rapide,Qui correspond à la définition donnée par l'accord européen du 15 novembre 1975 sur les grandes routes de trafic international.,[644],fast lane,Which corresponds to the definition given by the European Agreement of 15 November 1975 on main international traffic arteries.,2026-03-14 19:49:28.177
74,2,émission,"Le rejet dans l'environnement, à la suite d'activités humaines, de substances, de produits, de déchets, de préparations, de composés chimiques, d'organismes ou de micro-organismes.","[49, 67, 90, 131, 305, 348, 359, 393, 395]",emission,"The release into the environment, as a result of human activities, of substances, products, wastes, preparations, chemical compounds, organisms or micro-organisms.",2026-03-14 19:49:28.177
75,2,état de conservation,"«État de conservation d'un habitat naturel»: l'état de conservation de cet habitat tel que défini à l'article 1erbis, 5°, de la loi du 12 juillet 1973 sur la conservation de la nature. L'état de conservation d'un habitat naturel est considéré comme favorable conformément aux conditions déterminées par l'article 1erbis, 6°, de la loi du 12 juillet 1973 sur la conservation de la nature; «État de conservation d'une espèce»: l'état de conservation de cette espèce tel que défini à l'article lerbis, 9º, de la loi du 12 juillet 1973 sur la conservation de la nature. L'état de conservation d'une espèce est considéré comme favorable conformément aux conditions déterminées par l'article lerbis, 10°, de la loi du 12 juillet 1973 sur la conservation de la nature.","[303, 304, 348, 362]",state of conservation,"«Conservation status of a natural habitat»: the conservation status of this habitat as defined in the article 1erbis, 5°, of the law of 12 July 1973 on the conservation of nature. The conservation status of a natural habitat is considered as favorable in accordance with the conditions determined by the article 1erbis, 6°, of the law of 12 July 1973 on the conservation of nature; «Conservation status of a species»: the conservation status of this species as defined in the article lerbis, 9º, of the law of 12 July 1973 on the conservation of nature. The conservation status of a species is considered as favorable in accordance with the conditions determined by the article lerbis, 10°, of the law of 12 July 1973 on the conservation of nature.",2026-03-14 19:49:28.177
76,2,état initial,"L'état des ressources naturelles et des services, au moment du dommage, qui aurait existé si le dommage environnemental n'était pas survenu, estimé à l'aide des meilleures informations disponibles.","[348, 362, 365, 367, 369, 371, 372]",initial state,"The state of natural resources and services, at the time of the damage, that would have existed if the environmental damage had not occurred, estimated using the best available information.",2026-03-14 19:49:28.177
77,2,étude d'incidences,L'étude scientifique relative à l'évaluation des incidences sur l'environnement d'un projet élaborée par une personne agréée choisie par le demandeur.,"[49, 172, 178, 183, 194, 219, 233, 287, 290, 291, 292, 293, 294, 295, 302, 303, 306, 308, 309, 310, 311, 313, 315, 318, 320, 605, 607]",study of incidences,The scientific study relating to the assessment of the impacts on the environment of a project prepared by an accredited person chosen by the applicant.,2026-03-14 19:49:28.177
